Image_ID,Image_file_link,MSA_Caption,Sudanese_Caption,Region,Audio_file_link,Category,Collection_method,Source_license,Secondary_category
IMG_000001.jpg,Google drive,شاحنة حفر ضخمة  في المخيم,كراكة  كبيرة صفراء  و جمبها في مخيمات العمال,ولاية دارفور,Audio_link,Transportation,Licened Public(Wikimmedia common),"CC BY-SA 4.0, BY Mohammedmontaser22",
IMG_000002.jpg,Google drive,مقطورة تحمل شاحنة و أشخاص,بنطون شايل رجال لابسين جلاليب و شايل حافلات وقدام المرسي في شوية شجر,ولاية شندي,Audio_link,Transportation,Direct Permission,Permission Form,
IMG_000003.jpg,Google drive,قارب يسير بوسط النيل يحمل اطفال ورجال ونساء,مركب ماشي في نص النيل شايل نسوان وشفع ورجال,الولاية الشمالية مروي/جزيرة ترج,Audio_link,Transportation,Licened Public(Wikimmedia common),"CC BY-SA 4.0, BY كابوالحوت",
IMG_000004.png,Google drive,حافلة كبيرة تسير على طريق مُحاط بالدكاكين,دفار ماشي في ظلط وسط الدكاكين وجمبو دكان الميمنة للخدمات التجارية,,Audio_link,Transportation,Licened Public(Wikimmedia common),"CC BY-SA 4.0, BY Mohammed Wd Muna",
IMG_000005.jpg,Google drive,سيارة صفراء في موقف سيارات أجرة,تاكسي أصفر  مركون في موقف تكاسي صفراء,الخرطوم/ ولاية الخرطوم,Audio_link,Transportation,Licened Public(Wikimmedia common),"CC BY-SA 4.0, BY Mustafa Nagi",
IMG_000006.jpg,Google drive,سيارة متوقفة بالطريق أمام محكمة مبنيّة من الطوب,بوكسي واقف في الشارع قدام محكمة من الطوب وجمبو فية ركشة و بوكسي و عربية,ولاية نهر النيل,Audio_link,Transportation,Licened Public(Wikimmedia common),"CC BY-SA 4.0, BY Mohammedmontaser22",
IMG_000007.jpg,Google drive,حافلة نقل بريّ بين المدن,بص سفر سياحي ماشي في شارع سفر فيه شوية شجر,,Audio_link,Transportation,Direct Permission,Permission Form,
IMG_000008.jpg,Google drive,قطار نقل الركّاب,قطر ماشي في السكة حديد ,,Audio_link,Transportation,Licened Public(Wikimmedia common),"CC BY-SA 4.0, BY Abdalla mohammed noor",
IMG_000009.jpg,Google drive,طائرة الخطوط الجوية السودانية,طيارة سودانير واقفة في مدرج المطار وجمبها شوية طيارات,,Audio_link,Transportation,Licened Public(Wikimmedia common),GNU Free Documentation License,
IMG_000010.jpg,Google drive,عربة ثلاثية العجلات امام متجر الجعلي سنتر في الشارع العام ,تكاتك حمراء و زرقاء واقفة قدام دكان الجعلي سنتر في نص الشارع,,Audio_link,Transportation,Licened Public,Image_link,
IMG_000011.jpg,Google drive,سيارات صغيرة مملوكة للمواطنين تركن بشارع عام,عربات ملاكي مركونة في الشارع العام وقدامها مبنى فية شجر نخيل,,Audio_link,Transportation,Licened Public(Wikimmedia common),"CC BY-SA 4.0, BY Husam Mustafa Ahmed Abdul Rahim & Elmigdad Bannaga",
IMG_000012.jpg,Google drive,حافلة نقل عام يوجد بيها ركاب,حافلة مواصلات فيها ناس جمب جبال البركل,كسلا/ ولاية كسلا,Audio_link,Transportation,Licened Public(Wikimmedia common),"CC BY-SA 4.0, BY SeLig",
IMG_000013.jpg,Google drive,حِمارٌ ناقِل للتراب لي أعمال البناء,كارو واقف مستني عشان يختو فيه تراب حق البناء,,Audio_link,Transportation,Licened Public(Wikimmedia common),"CC BY-SA 4.0, BY Ramah alziber",
IMG_000014.jpg,Google drive,وسيلة تنقل بين قرى السودان,ناس راكبين في برينسة وقدامها في بوكسي دبل قبين,,Audio_link,Transportation,Licened Public(Wikimmedia common),"CC BY-SA 4.0, BY Azhari alalla",
IMG_000015.jpg,Google drive,عبّارة ركّاب في مياه نهر النيل الأزرق لنقل الركاب,عبارة في النيل الازرق بتنقل الناس قاعدة تحت الكبري وجمبها كراسي بلاستيك, ,Audio_link,Transportation,Licened Public(Wikimmedia common),"CC BY-SA 4.0, BY Esam Idris",
IMG_000016.jpg,Google drive,باخرة تبحر في البحر,باخرة ماشة في نص البحر,,Audio_link,Transportation,Licened Public,Image_link,
IMG_000017.jpg,Google drive,ركاب يركبون حافلة نقل عام كبيرة,ناس عاوزين يركبوا روزة بتاعت مواصلات واقفة في فسحة,,Audio_link,Transportation,Direct Permission(Nile Orgnaization),Permission Form,
IMG_000018.jpg,Google drive,شاحنة نقل كبيرة تحمل أشخاص بالقرب من شجرة,لوري واقف و شايل ناس و جمبو شجرة,,Audio_link,Transportation,Direct Permission,Permission Form,
IMG_000019.jpg,Google drive,مجموعة عربات ثلاثية العجلات تركن بجانب الطريق العام,ثلاثة ركشات سود  واقفات جمب الظلط ,,Audio_link,Transportation,Direct Permission,Permission Form,
IMG_000020.jpg,Google drive,سيارة نقل صغيرة متوقفة قرب محطة الوقود,امجاد حمراء مبركنة جمب الطرمبة حقت البنزين,,Audio_link,Transportation,Licened Public(Wikimmedia common),CC BY-SA 4.0و BY Husam Mustafa Ahmed Abdul Rahim & Elmigdad Bannaga,
IMG_000021.jpg,Google drive,حافلة نقل عام  صغيرة بالطريق العام,هايس  اصفر ماشي في لشارع الظلط و ماشة وراه امجاد حمراء,,Audio_link,Transportation,Licened Public(Wikimmedia common),"CC BY-SA 4.0, BY Asim",
