Video_ID,Video_file_link,MSA_caption,Sudanese_caption,Audio_file_link,Category,Region,Collection_method,Source_license,Secondary_category
VID_000001.mp4,Google_drive,شخص يحمل وعاء يحتوي على مرق الملوخيّة ويصبه على صحن فيه خبز الذرة,زول ماسك كورة خدرا مفروكة و بملّح بيهو صحن كِسرَة,Audio_link,Food & Drinks,,Direct Permission,Permission Form,
VID_000002.mp4,Google_drive,,زول قاعد يكُب ويكة عشان يلايق ملاح التقلية,Audio_link,Food & Drinks,,Direct Permission,Permission Form,
VID_000003.mp4,Google_drive,شخص يضيف مسحوق البامية المجففة ليجعل قوام مرق اللحم متماسك,طعمية قاعدة تتحمر في طوة فيها زيت غزير,Audio_link,Food & Drinks,,Direct Permission,Permission Form,
VID_000004.mp4,Google_drive,حافلة كبيرة (روزا) و سيارات صغيرة تسير في طريق معبّد,حافلة روزا و عربات صغيرة في شارع الظلط,Audio_link,City & Rural Life,بحري/ولاية الخرطوم,Direct Permission,Permission Form,Transportation
VID_000005.mp4,Google_drive,جزيرة في وسط البحر تضم آثار مبانٍ ومساجد,جزيرة في نص البحر فيها آثار مباني و مساجد,Audio_link,Nature & Landscape,سواكن/ولاية البحر الأحمر,Direct Permission,Permission Form,
VID_000006.mp4,Google_drive,جبال التاكا أمامها خور القاش، وحولها مساحات من العشب,جبال التاكا و قدامها خور القاش و الواطة حولها مليانة زرع,Audio_link,Nature & Landscape,كسلا/ولاية كسلا,Licened Public(Pixabay),Pixabay license,
VID_000007.mp4,Google_drive,مركب في وسط البحر، على متنه رجلان، تحلق حولهما طيور تلتقط السمك من البحر,مركب في نص البحر فيهو راجلين و حولهم طيور بتجبد سمك من البحر,Audio_link,Nature & Landscape, ولاية البحر الأحمر,Direct Permission,Permission Form,
VID_000008.mp4,Google_drive,موجات البحر مع صوت الأمواج في منطقة سياحية ساحلية,موجات و صوت البحر في منطقة سياحية,Audio_link,Nature & Landscape,منطقة دونقناب/ولاية البحر الأحمر,Direct Permission,Permission Form,
VID_000009.mp4,Google_drive,منتجع على البحر، فيهو قعدات و مظلات و مراكب,منتجع على البحر فيهو قعدات و مظلات و مراكب,Audio_link,Nature & Landscape,منطقة دونقناب/ولاية البحر الأحمر,Direct Permission,Permission Form,
VID_000010.mp4,Google_drive,طفل يسبح في البحر و يرتدي سترة النجاة,شافع بسبح في البحر و لابس سترة النجاة,Audio_link,Nature & Landscape,بورتسودان/ ولاية البحر الأحمر,A friend Permission,Permission Form,City & Rural life
VID_000011.mp4,Google_drive,طريق سفر  تحيط به الأشجار والخضرة,شارع سفر كله شجر و خدار,Audio_link,Nature & Landscape,,A friend Permission,permission Form,
VID_000012.mp4,Google_drive,تظهر صحراء فيها أهرامات مروي، مع تضرر قمم بعضها,صحرا و اهرامات مروي جزء منها مكسر من فوق,Audio_link,Nature & Landscape,مروي/الولاية الشمالية,Direct Permission,permission Form,Heritage 
VID_000013.mp4,Google_drive,"زغاريد النساء لحظة هبوط طائرة "" سودانير"" بمدرج مطار الخرطوم",زغاريت النسوان لحظة هبوط طيارة سودانير في مطار الخرطوم,Audio_link,Transportation,الخرطوم/ولاية الخرطوم,Direct Permission,permission Form,
VID_000014.mp4,Google_drive,شارع معبّد بالأسفلت، يمر فيه عربات مياه تجرها حمير  وشاحنة، وتتجمع فيه حفر تحتوي على ماء,شارع ظلط فيهو كاروهات و لوري و حفر متجمعة فيها موية,Audio_link,Nature & Landscape,القضارف/ولاية القضارف,A friend Permission,permission Form,
VID_000015.mp4,Google_drive,نهر يمتد بين الغابات، تحيط به أشجار كثيفة,نهر شاقي غابات و اشجار كتيرة و كثيفة,Audio_link,Nature & Landscape,,Direct Permission,permission Form,
VID_000016.mp4,Google_drive,أرض زراعية فارغة مُهيأة للزراعة، ومركب يسير في وسط البحر,ارض زراعية فاضية و مجهزة للزراعة، و مركب ماشي في نص البحر,Audio_link,Nature & Landscape,كبوشية/ولاية نهر النيل,Direct Permission,permission Form,
VID_000017.mp4,Google_drive,جسر طويل في وسط البحر، والمياه أسفله واضحة وتحوي طحالب وشعابًا مرجانية,جسر طويل في نص البحر و الموية ظاهرة فيها الطحالب و الشعب المرجانية,Audio_link,Nature & Landscape,سنقنيب/ولاية البحر الأحمر,Direct Permission ,permission Form,
VID_000018.mp4,Google_drive,عدد كبير من الأعمدة داخل مسجد الختمية، و تبدو خلفه جبال التاكا,اعمدة كتيرة جوا جامع الختمية  و وراهو جبال التاكا,Audio_link,Public places and infrastructure,كسلا/ولاية كسلا,Licenes Public(Pixabay),Pixabay Licened,
VID_000019.mp4,Google_drive,لقطة علوية لبرج الفاتح، مع الشوارع المحيطة وحركة المرور، وبجانبه شارع النيل,برج الفاتح من فوق و ظاهرة الشوارع و حركة السير و شارع النيل جمبه,Audio_link,City & Rural Life,الخرطوم/ولاية الخرطوم,Licenes Public(Pixabay),Pixabay Licened,Public places and infrastructure
VID_000020.mp4,Google_drive,جسر الحديد وشوارع رئيسية مسفلتة، وبرج الفاتح تظهر عليه أضرار في بعض أجزائه,كبري الحديد و شوارع ظلط رئيسية و برج الفاتح فيهو كسير,Audio_link,City & Rural Life,الخرطوم/ولاية الخرطوم,Direct Permission ,Permission Form,
VID_000021.mp4,Google_drive,منظر لمكان موحل بالمطر والطين، يضم كوخًا من الخيش وفروع الأشجار وآخر من القماش، وداخله أواني منزلية,منظر مطر و طين و راكوبة معمولة من الخيش و فروع الشجر و واحدة تانية من قماش و جواها عدة,Audio_link,City & Rural Life,,Direct Permission,Permission Form,
VID_000022.mp4,Google_drive,حر تحيط به أشجار، وفيه حجارة، وأشخاص يجلسون فوق الشلال,بحر حوله شجر و فيهو حجار و ناس قاعدين فوق الشلال,Audio_link,Nature & Landscape,دارفور/ولاية دارفور,Direct Permission,Permission Form,
VID_000023.mp4,Google_drive,شارع داخل حي شعبي، توجد سيارات متوقفة أمام المنازل، والسماء ملبدة بالغيوم,شارع جوا حي شعبي فيهو عربات واقفة قدام البيوت و الجو مغيم,Audio_link,City & Rural Life,الخرطوم/ولاية الخرطوم,A friend Permission,Permission Form,
VID_000024.mp4,Google_drive,"إستاد الخرطوم الدولي لكرة القدم، نجيلته خضراء، ويوجد شخص يجلس فوق سقف مصنوع من ألواح الزنك, و آخرون يجلسون على المدرجات",استاد الخرطوم الدولي نجيلته خضرا و في زول راكب فوق زنكي و ناس قاعدين فوق المدرجات,Audio_link,Public places and infrastructure,الخرطوم/ولاية الخرطوم,Direct Permission,Permission Form,
VID_000025.mp4,Google_drive,علم السودان يرفرف في وسط ساحة مدرسة مرحلة أساسيّة للبنات، وطفلة صغيرة تمشي في الساحة,علم السودان برفرف في نص ساحة مدرسة اساس بتاعت بنات و في بت صغيرة ماشة في الساحة,Audio_link,Public places and infrastructure,,Direct Permission,Permission Form,
VID_000026.mp4,Google_drive,شاحنةٌ تحملُ عددًا من الناس، و لقطة يرفرفُ فيها علمُ السودان، ويسيرُ بجانبهم قطيعٌ من الجِمال يتقدَّمهُ راعيه في الطريق.,لوري شايل ناس و لقطة فيها علم السودان برفرف و قطيع بتاع جمال معاهم الراعي بتاعهم,Audio_link,Transportation,,Direct Permission ,Permission Form,
VID_000027.mp4,Google_drive,قطيعٌ من الثيران يسير في منطقة يغطيها العشب الناشف، وبرفقتهم راعٍ يمتطي أحد الثيران,قطيع بتاع تيران ماشين في حتة مليانة قش و معاهم راعي راكب في تور,Audio_link,"Agriculture, Livestock and Wild animal",,Licened Public(Pixabay),pixabay license,
VID_000028.mp4,Google_drive,خزان جبل أولياء وتجري من تحته مياه النيل الأبيض,خزان جبل اولياء و جارية تحته موية النيل الأبيض,Audio_link,Public places & infrastructure,خزان جبل اولياء/ولاية الخرطوم,Licened Public(pixabay),pixabay license,Energy infrastructure
